diagnostic_score,quiz_average,overall_mastery,total_study_hours,total_attempts,study_streak,final_exam_score
76.5,65.1,65.1,5.68,13,2,56.9
70.8,48.7,48.4,6.21,19,2,47.4
71.4,71.6,64.4,14.35,14,4,55.9
81.4,79.5,78.2,8.75,19,15,65.9
53.0,64.0,56.7,7.69,12,1,53.7
55.1,56.7,51.9,22.73,19,11,44.6
100.0,79.5,77.3,23.05,13,3,71.1
85.7,74.5,69.4,36.8,10,11,64.3
47.6,59.1,64.9,12.82,14,16,53.7
62.0,58.4,49.7,3.52,13,4,50.2
62.4,44.1,40.3,8.39,17,3,41.7
62.9,64.5,62.6,80.25,12,10,72.6
72.8,64.7,60.3,20.14,15,5,62.6
36.2,43.0,41.0,26.74,19,8,36.4
39.8,43.4,40.5,2.15,15,6,32.7
59.8,57.3,46.2,16.6,19,2,57.3
51.5,38.8,49.8,2.77,7,12,46.1
51.6,55.8,51.2,18.84,12,2,50.2
50.4,51.7,59.2,52.71,14,17,56.7
38.4,65.5,48.0,71.1,15,2,54.1
86.9,79.9,76.7,17.55,11,9,67.3
85.7,60.0,60.0,14.26,11,3,59.0
68.9,66.4,63.4,60.01,14,3,64.4
42.5,48.4,46.1,24.39,14,3,40.0
64.8,58.1,57.2,3.34,15,9,51.0
70.4,61.1,51.8,14.54,18,6,58.8
52.2,49.8,58.5,7.5,7,14,49.5
75.1,63.7,61.0,14.69,13,3,65.4
73.0,65.2,59.8,14.16,12,8,52.5
51.9,63.5,58.1,19.45,13,9,52.6
60.4,61.2,47.0,10.83,14,2,43.3
83.5,73.1,71.4,5.59,9,4,61.2
69.3,67.3,54.8,16.01,14,5,53.4
42.8,52.8,43.3,37.46,12,3,46.1
73.2,71.1,63.7,23.81,9,3,63.1
45.5,57.0,54.5,10.26,14,8,46.3
75.7,62.9,58.3,56.83,12,2,54.1
44.9,47.7,47.2,50.66,13,8,53.0
36.4,48.0,48.0,6.7,11,17,42.1
68.2,60.7,56.9,2.8,10,6,49.6
69.7,68.6,62.5,29.04,11,6,62.4
57.3,77.1,60.5,37.16,14,1,61.8
61.6,59.6,52.2,70.76,14,13,58.0
